,그릴드 비프 샐러드,AUS 200g,한우 200g,자몽리치에이드,G-Charge3,콜라,빵 추가 1인,모둠 해산물 플래터,카스,해산물 토마토 스파게티,해산물 토마토 리조또,Open Food,아메리카노,GlsSileni,해산물 토마토 스튜 파스타,Gls미션 서드,까르보나라,하이네켄생,시저 샐러드,버섯 크림 리조또,스프라이트,제로콜라,알리오 에 올리오,양갈비 4ps,미션 서드 카베르네 쉬라
그릴드 비프 샐러드,1.0,0.22544160604842425,0.21383574303133038,0.1451333292641397,0.1424138884298355,0.06453351351977127,-0.08984083160528827,0.3378664266889979,0.10387052203247886,0.24408921156308494,0.11971143485423269,-0.017918580237415476,0.08843088380730277,0.26113433685878407,0.2532476706862503,0.1989720643681315,0.21099583818439574,0.07288558918820036,0.48631598834052997,0.2497722260511114,0.03529669508124045,0.10152945879425998,0.5766400463647147,0.22380777775938593,0.023446394957404665
AUS 200g,0.22544160604842425,1.0,0.5049580322073706,0.19963482873190427,0.04367011146037165,0.23628087496439648,-0.149237594045657,0.3541263988486459,0.050427317296790376,0.05188825823322577,-0.1620876250945579,0.023862607445904932,0.029626534864816936,0.13541762730429108,0.63827437078321,0.10701721423515756,0.6735523410860763,0.16084192521026774,0.4363145810847416,0.6938161729886756,0.09910036790949,0.15730571547799316,0.5368587960311545,0.5918030699404345,0.002594547253945941
한우 200g,0.21383574303133038,0.5049580322073706,1.0,0.177142892123594,0.11100112159534602,0.24124232534069057,-0.1521808282238558,0.3419765682242159,0.08126318560325244,0.04905390905487536,-0.1367559157823767,0.032264913373299044,0.019394211551793335,0.12123083423126353,0.5291261690457281,0.07355525452423646,0.6234594988387103,0.16164961877297282,0.3458943001109072,0.6151359419188254,0.08280966043533575,0.1341160600157776,0.4942741173262826,0.44699646703470153,-0.021935615196396637
자몽리치에이드,0.1451333292641397,0.19963482873190427,0.177142892123594,1.0,0.04225005857374515,0.17730692271238105,0.2073451120977012,0.041600746593918936,0.1817236973909771,0.3077320777387498,0.26572194169788477,0.014202689837586643,0.06496078756226252,0.19200323869828587,0.18173213018625117,0.2268518722509231,0.22590677049971203,0.17072618706907952,0.12987803877865353,0.23806040438983078,0.09725526175096016,0.1630089207222284,0.2758050566644889,0.18030195317367015,0.06019057759473478
G-Charge3,0.1424138884298355,0.04367011146037165,0.11100112159534602,0.04225005857374515,1.0,0.061745096390820486,0.08106189410070017,0.26462276676121216,0.09551059096393837,0.19603090221853833,0.17248138005003041,-0.01917768256776161,0.10680642215332646,0.149340106268808,0.07152393867944698,0.09868511780584525,0.0909382359431466,0.25250684571649723,0.1666883449807222,0.05154939576887758,0.045372185670732666,0.06225209053322274,0.17512082418018077,0.08931340947957941,0.007832932165502232
콜라,0.06453351351977127,0.23628087496439648,0.24124232534069057,0.17730692271238105,0.061745096390820486,1.0,0.15740325362604785,0.014391709650006038,0.1462679606111324,0.2641092580497235,0.1751315727365532,0.007952644117332099,0.020965247063657842,0.18679315117083214,0.09412791209855763,0.22333066301202667,0.28509294587386347,0.1507023735520492,0.08590501947118755,0.20265917206399403,0.5180045942893723,0.3285723288132394,0.20496211142885395,0.12362849428495978,0.014241994827581267
빵 추가 1인,-0.08984083160528827,-0.149237594045657,-0.1521808282238558,0.2073451120977012,0.08106189410070017,0.15740325362604785,1.0,-0.07927372942812275,0.22083184882286486,0.4469881308601101,0.35832186970966984,-0.03650370914954977,0.1717959215984872,0.210116553602386,-0.16889107964442163,0.2924059356005765,-0.1666872461079264,0.17439567795635508,-0.11400410823955459,-0.15766771869072918,0.13381479641381752,0.144171082600187,-0.16384773882150994,-0.1475818218359442,0.050473992557513433
모둠 해산물 플래터,0.3378664266889979,0.3541263988486459,0.3419765682242159,0.041600746593918936,0.26462276676121216,0.014391709650006038,-0.07927372942812275,1.0,0.12254615136969765,0.19409038748655594,-0.022080411279449454,-0.012352828782054705,0.09152373132114984,0.15072789229514547,0.34462962908478445,0.10665008611199425,0.26603716935250254,0.16884157869570385,0.45760752445873637,0.285209656062778,0.02940060254773385,0.09803032920534592,0.33953825343665733,0.37511425644098856,0.024201672096663497
카스,0.10387052203247886,0.050427317296790376,0.08126318560325244,0.1817236973909771,0.09551059096393837,0.1462679606111324,0.22083184882286486,0.12254615136969765,1.0,0.2989746576994168,0.23513749551381627,-0.020101620549114775,0.18765296612066484,0.14002389333855017,0.09739982456882748,0.15681972620319834,0.04040424489662649,0.1058522041220025,0.1463727051478133,0.09146198999142297,0.06627589397274856,0.142821392629298,0.13750870426282868,0.07258298838550141,0.03038138493461062
해산물 토마토 스파게티,0.24408921156308494,0.05188825823322577,0.04905390905487536,0.3077320777387498,0.19603090221853833,0.2641092580497235,0.4469881308601101,0.19409038748655594,0.2989746576994168,1.0,0.47671112203600957,-0.045538309125981336,0.2183311342139791,0.3669752708537441,0.03901050862415091,0.5140056461008787,0.051414824716330874,0.24789836403059787,0.19223572648959106,0.07591620245625492,0.16385142024505872,0.29979483110463995,0.21691945289362152,0.07824331931914882,0.08443928307168015
해산물 토마토 리조또,0.11971143485423269,-0.1620876250945579,-0.1367559157823767,0.26572194169788477,0.17248138005003041,0.1751315727365532,0.35832186970966984,-0.022080411279449454,0.23513749551381627,0.47671112203600957,1.0,-0.021588069640647415,0.19122267106264831,0.2524622157777339,-0.17479660676634173,0.34810536982103885,-0.1289808310074701,0.08916201291727294,0.03761278114632537,-0.1435656598164696,0.09186526359671005,0.1685382525712153,0.049376510756534535,-0.17409031572503322,0.05346120177121705
Open Food,-0.017918580237415476,0.023862607445904932,0.032264913373299044,0.014202689837586643,-0.01917768256776161,0.007952644117332099,-0.03650370914954977,-0.012352828782054705,-0.020101620549114775,-0.045538309125981336,-0.021588069640647415,1.0,0.07513326409932972,-0.0360776959435019,0.007324760146107571,-0.00637869519642551,0.03749793053137552,0.11728441608032374,0.002894270001132747,0.02849678517634114,0.012331143040280651,0.0005317861087408913,-0.00036299980976101353,0.04509277325130499,0.6326189821979302
아메리카노,0.08843088380730277,0.029626534864816936,0.019394211551793335,0.06496078756226252,0.10680642215332646,0.020965247063657842,0.1717959215984872,0.09152373132114984,0.18765296612066484,0.2183311342139791,0.19122267106264831,0.07513326409932972,1.0,0.06947939260435113,0.004927868081784305,0.15353450403230248,0.004818239306476472,0.08065243548532117,0.17251833296401825,0.017182091524023356,0.02317181745920042,0.01919366210935318,0.05017465888125267,0.037479563957383465,0.11198829025070593
GlsSileni,0.26113433685878407,0.13541762730429108,0.12123083423126353,0.19200323869828587,0.149340106268808,0.18679315117083214,0.210116553602386,0.15072789229514547,0.14002389333855017,0.3669752708537441,0.2524622157777339,-0.0360776959435019,0.06947939260435113,1.0,0.0990850999589935,0.3500076125963804,0.1626720193813502,0.10545300795392223,0.16555734140513167,0.2065043573872467,0.12569779814548762,0.1508696347688297,0.28908086908340047,0.13060357469257064,-0.022777986004498135
해산물 토마토 스튜 파스타,0.2532476706862503,0.63827437078321,0.5291261690457281,0.18173213018625117,0.07152393867944698,0.09412791209855763,-0.16889107964442163,0.34462962908478445,0.09739982456882748,0.03901050862415091,-0.17479660676634173,0.007324760146107571,0.004927868081784305,0.0990850999589935,1.0,0.10707973239412882,0.6575884153269488,0.11804597949853544,0.38810960874876876,0.7470222466878467,0.041228965826613,0.15123338681694168,0.5408185842529392,0.5138661290894874,-0.003994290472841788
Gls미션 서드,0.1989720643681315,0.10701721423515756,0.07355525452423646,0.2268518722509231,0.09868511780584525,0.22333066301202667,0.2924059356005765,0.10665008611199425,0.15681972620319834,0.5140056461008787,0.34810536982103885,-0.00637869519642551,0.15353450403230248,0.3500076125963804,0.10707973239412882,1.0,0.12217179800606764,0.16711614004950687,0.21294824283174085,0.17013432964951103,0.17311560230748668,0.20677476103246914,0.22398554446110364,0.07972760179366115,0.012404590970422052
까르보나라,0.21099583818439574,0.6735523410860763,0.6234594988387103,0.22590677049971203,0.0909382359431466,0.28509294587386347,-0.1666872461079264,0.26603716935250254,0.04040424489662649,0.051414824716330874,-0.1289808310074701,0.03749793053137552,0.004818239306476472,0.1626720193813502,0.6575884153269488,0.12217179800606764,1.0,0.11434105190265778,0.3968280357420088,0.7054011191966462,0.06871984809368611,0.15400398056025552,0.5730828384612016,0.5415936638861982,-0.004425793287288415
하이네켄생,0.07288558918820036,0.16084192521026774,0.16164961877297282,0.17072618706907952,0.25250684571649723,0.1507023735520492,0.17439567795635508,0.16884157869570385,0.1058522041220025,0.24789836403059787,0.08916201291727294,0.11728441608032374,0.08065243548532117,0.10545300795392223,0.11804597949853544,0.16711614004950687,0.11434105190265778,1.0,0.09378029134881115,0.13624776752213988,0.08886148913500795,0.14878955383873912,0.13679260828115578,0.12845045468409266,0.13114248493522324
시저 샐러드,0.48631598834052997,0.4363145810847416,0.3458943001109072,0.12987803877865353,0.1666883449807222,0.08590501947118755,-0.11400410823955459,0.45760752445873637,0.1463727051478133,0.19223572648959106,0.03761278114632537,0.002894270001132747,0.17251833296401825,0.16555734140513167,0.38810960874876876,0.21294824283174085,0.3968280357420088,0.09378029134881115,1.0,0.37108968024556005,0.010766956326107045,0.04261581111845442,0.5561523604160326,0.42772235773770384,-0.011816338536916464
버섯 크림 리조또,0.2497722260511114,0.6938161729886756,0.6151359419188254,0.23806040438983078,0.05154939576887758,0.20265917206399403,-0.15766771869072918,0.285209656062778,0.09146198999142297,0.07591620245625492,-0.1435656598164696,0.02849678517634114,0.017182091524023356,0.2065043573872467,0.7470222466878467,0.17013432964951103,0.7054011191966462,0.13624776752213988,0.37108968024556005,1.0,0.10469729220545206,0.18794573886535287,0.5891194927336758,0.5520625541971127,-0.007917485057042694
스프라이트,0.03529669508124045,0.09910036790949,0.08280966043533575,0.09725526175096016,0.045372185670732666,0.5180045942893723,0.13381479641381752,0.02940060254773385,0.06627589397274856,0.16385142024505872,0.09186526359671005,0.012331143040280651,0.02317181745920042,0.12569779814548762,0.041228965826613,0.17311560230748668,0.06871984809368611,0.08886148913500795,0.010766956326107045,0.10469729220545206,1.0,0.31079277836231234,0.09367447626757135,0.05443349723226132,0.05363966417777304
제로콜라,0.10152945879425998,0.15730571547799316,0.1341160600157776,0.1630089207222284,0.06225209053322274,0.3285723288132394,0.144171082600187,0.09803032920534592,0.142821392629298,0.29979483110463995,0.1685382525712153,0.0005317861087408913,0.01919366210935318,0.1508696347688297,0.15123338681694168,0.20677476103246914,0.15400398056025552,0.14878955383873912,0.04261581111845442,0.18794573886535287,0.31079277836231234,1.0,0.21169390868735707,0.0883161679891944,0.009077207711587513
알리오 에 올리오,0.5766400463647147,0.5368587960311545,0.4942741173262826,0.2758050566644889,0.17512082418018077,0.20496211142885395,-0.16384773882150994,0.33953825343665733,0.13750870426282868,0.21691945289362152,0.049376510756534535,-0.00036299980976101353,0.05017465888125267,0.28908086908340047,0.5408185842529392,0.22398554446110364,0.5730828384612016,0.13679260828115578,0.5561523604160326,0.5891194927336758,0.09367447626757135,0.21169390868735707,1.0,0.4252435260650976,-0.004215578191750827
양갈비 4ps,0.22380777775938593,0.5918030699404345,0.44699646703470153,0.18030195317367015,0.08931340947957941,0.12362849428495978,-0.1475818218359442,0.37511425644098856,0.07258298838550141,0.07824331931914882,-0.17409031572503322,0.04509277325130499,0.037479563957383465,0.13060357469257064,0.5138661290894874,0.07972760179366115,0.5415936638861982,0.12845045468409266,0.42772235773770384,0.5520625541971127,0.05443349723226132,0.0883161679891944,0.4252435260650976,1.0,0.042114860625242424
미션 서드 카베르네 쉬라,0.023446394957404665,0.002594547253945941,-0.021935615196396637,0.06019057759473478,0.007832932165502232,0.014241994827581267,0.050473992557513433,0.024201672096663497,0.03038138493461062,0.08443928307168015,0.05346120177121705,0.6326189821979302,0.11198829025070593,-0.022777986004498135,-0.003994290472841788,0.012404590970422052,-0.004425793287288415,0.13114248493522324,-0.011816338536916464,-0.007917485057042694,0.05363966417777304,0.009077207711587513,-0.004215578191750827,0.042114860625242424,1.0
